record_id,description,aircraft_model,manufacturer,accident_type,date,year,state,city,airport,source
19870425026649I,THE AIRCRAFT RAN OFF THE END OF THE RUNWAY DURING ABORT.  THE PILOT FAILED TO USE FLAPS FOR TAKEOFF.,182D,CESSNA,ME,4-25-19870425,4,H,,H,faa
19870616020729A,UPPER COWLING BECAME LOOSE ON CLIMBOUT. RETURNING TO AIRPORT AIRCRAFT STALLED. IMPACTED TERRAIN NEXT TO THE RUNWAY.,PA28180,PIPER,II,6-16-19870616,6,L,LYC,L,faa
19870430022259I,THE AIRCRAFT WOULD NOT PRESSURIZE AND THE AIRCRAFT RETURNED TO AIRPORT.  CARGO DOOR UNLATCHED.  WARNING LIGHT INOP.,737204,BOEING,II,4-30-19870430,4,L,,L,faa
19870625027029A,THE AIRCRAFT DESCENDED INTO TREES DURING AN ATTEMPTED GO AROUND. THE PILOT RETRACTED THE FLAPS TOO EARLY.,177A,CESSNA,ME,6-25-19870625,6,H,LYC,H,faa
19870421060899A,HELICOPTER IMPACTED GROUND AND ROLLED OVER AFTER LOSS OF TAIL ROTOR CONTROL. PRIOR DAMAGE IGNORED. NO AIRWORTHINESS,UH1B,BELL,AU,4-21-19870421,4,G,LYC,G,faa
19870713037399A,INITIAL CLIMB. RIGHT TURN. UNABLE TO GET WING UP. HIT WATER. ROLLED OVER. SANK. SUSPECT WATER IN WING. LEAKY FLOATS,S7EC,BBAVIA,II,7-13-19870713,7,H,CONT,H,faa
19870606050749I,"THE AIRCRAFT LANDED WITH THE PARKING BRAKE ENGAGED, BLOWING MAIN TIRES. PILOT USED UNAUTHOURIZED PROCEDURE.",DHC7102,DHAV,ME,6-06-19870606,6,H,,H,faa
19870623069389I,APU CAUGHT FIRE DURING START. APU PLACARDED EXCEPT FOR START SWITCH. APU WAS INOPERATIVE DEFERRED IN LOGS.,737247,BOEING,II,6-23-19870623,6,L,,L,faa
19870607036699I,SHUT DOWN LEFT ENGINE DUE TO FUEL FLOW PROBLEM AFTER TAKEOFF.  RIGHT ENGINE QUIT SHORTLY AFTER.,65,BEECH,II,6-07-19870607,6,L,LYC,L,faa
19870619020899A,THE ENGINE FAILED.  THE AIRCRAFT FLIPPED OVER ON LANDING.  WATER WAS FOUND IN ONE CYLINDER.,152,CESSNA,II,6-19-19870619,6,H,LYC,H,faa
19870706038459I,PILOT LEFT BOOST PUMP ON HIGH DURING TAXI.  FIRE ERUPTED.  FUEL DRAIN LINE WAS PUSHED UP INSIDE COWLING.,95B55,BEECH,ME,7-06-19870706,7,L,,L,faa
19870622055261A,MECHANIC TAXIING 747 WITHOUT BRAKE HYDRAULIC POWER STRUCK A HOLDING 737 N184AW. HAD FAILED TO USE BACKUP SYSTEM.,747SP21,BOEING,ME,6-22-19870622,6,L,PWA,L,faa
19870511028879I,LEFT ENGINE DEVELOPED AN OIL LEAK AFTER LIFTOFF.  RETURNED.  OIL CAP WAS NOT PROPERLY SECURED.,310P,CESSNA,II,5-11-19870511,5,L,,L,faa
19870508079639A,UNABLE TO ROTATE ON TAKEOFF AND OVERRAN THE DEPARTURE END OF THE RUNWAY. INCORRECT CONTROL LOCK IN YOKE.,65,BEECH,II,5-08-19870508,5,L,LYC,L,faa
19870612037629I,THE NOSE WHEEL FAILED TO EXTEND.  THE AIRCRAFT LANDED ON THE MAIN GEAR.  WHEEL JAMMED IN DISCONNECTED GEAR DOORS.,320E,CESSNA,II,6-12-19870612,6,L,CONT,L,faa
19870501023399I,CANOPY OPENED DURING TAKEOFF.  AIRCRAFT CONTROL AFFECTED.  LANDED GEAR UP.  SAFETY LATCH DID NOT HOLD.,KR1,AMTRRN,II,5-01-19870501,5,L,,L,faa
19870701064169I,THE GEAR RETRACTED ON TAKEOFF ROLL. SELECTOR WAS IN THE UP POSITION. BRF OUT OF DATE.,K35,BEECH,II,7-01-19870701,7,L,,L,faa
19870507025679I,"OVERSHOT NIGHT LANDING, VEERED OFF RUNWAY TO AVOID A FENCE. OVER ONE HALF OF RUNWAY LIGHTS INOPERATIVE.",182L,CESSNA,AF,5-07-19870507,5,H,,H,faa
19871031061469A,"ON LANDING, RAN OFF SIDE OF RUNWAY INTO MUD AND FLIPPED OVER.PILOT HAD FAILED TO SECURE AILERON REFLEXER CONTROL.",QUICKIE2,AMTRQK,ME,10-31-19871031,10,L,CONT,L,faa
19870922059019A,LEFT ON OVER WATER FLIGHT WITH FUEL PUMP INOPERATIVE AND USING THE ELECTRIC AUX PUMP WHICH FAILED. DITCHED IN OCEAN,TU206G,CESSNA,AU,9-22-19870922,9,H,CONT,H,faa
19870927068249I,CANOPY SEPARATED THE AIRCRAFT DURING TAKEOFF ROLL. PILOT FORGOT TO LATCH THE CANOPY.,S2BPITTS,CHILD,II,9-27-19870927,9,Q,,Q,faa
19870831063679I,THE RIGHT MAIN GEAR COLLAPSED ON ROLLOUT OLEO STRUT WAS NOT CONNECTED AT THE THREADED JOINTS.,7GC,BBAVIA,II,8-31-19870831,8,H,,H,faa
19870816045699A,ACTIVATED FLAPS INSTEAD OF SPOILERS ON APPROACH. TOO HIGH BEGAN A TURN TO LOSE ALTITUDE AND STALLED THE GLIDER.,L13BLANIK,LET,ME,8-16-19870816,8,K,,K,faa
19870924064559I,SMOKE ACCOMPANIED PRESSURIZATION PROBLEMS. PILOT IMPROPERLY SET EMERGENCY VALVE. OIL FROM ENGINE WORK CAUSED SMOKE.,35A,LEAR,ME,9-24-19870924,9,L,ARSRCH,L,faa
19870919066179I,"THE AIRCRAFT OVERRAN THE RUNWAY AFTER A FAST, NO FLAP LANDING. LANDING LIGHT FAILED. PILOT SHUT OFF BATTERY.",172M,CESSNA,ME,9-19-19870919,9,H,,H,faa
19870726046199I,ENGINE QUIT WITHOUT WARNING ON TAKEOFF. LANDED ON A ROAD. WATER FOUND IN THE CARBURETOR BOWL.,180,CESSNA,II,7-26-19870726,7,H,CONT,H,faa
19871027060859A,"ELECTRIC POWER LOST ON IFR DUAL FLIGHT. STRUCK POWER POLE ON FORCED LANDING, FOUND CIRCUIT BREAKER OFF. PILOT ERROR",19A,BEECH,ME,10-27-19871027,10,L,LYC,L,faa
19871027078949I,LANDING GEAR COLLAPSED BECAUSE IT WAS NEVER FULLY EXTENDED AND LOCKED. CAUSE GENERATORS WERE NEVER TURNED ON.,65B80,BEECH,ME,10-27-19871027,10,L,,L,faa
19871101065959I,"WHILE TAXING, THIS AIRCRAFT STRUCK A PARKED AIRPLANE. THE PILOT REPORTED THAT THE SEAT UNLOCKED AND SLIPPED BACK.",172N,CESSNA,II,11-01-19871101,11,H,,H,faa
19871014062899I,"DURING MISSED APPROACH, CFI TURNED BOOST PUMP ON WHICH FLOODED THE SIMULATED FAILED ENGINE. AIRCRAFT FORCE LANDED.",76,BEECH,ME,10-14-19871014,10,L,,L,faa
19871016063669I,OIL COVERED THE WINDSHIELD AFTER TAKEOFF. RETURNED. AIRCRAFT IMPROPERLY ALIGNED WITH RUNWAY. OIL FILLER CAP LOOSE.,U206,CESSNA,II,10-16-19871016,10,H,,H,faa
19870816056669A,"TOOK OFF WITHOUT SLATS AND FLAPS EXTENDED. STRUCK LIGHT POLE,CRASHED AND BURNED. TAKEOFF WARNING SYSTEM INOPERATIVE",DC982,DOUG,ME,8-16-19870816,8,L,PWA,L,faa
19870812051139I,AIRCRAFT STRUCK POWERLINES WHILE CIRCLING A RESIDENCE AT NIGHT. INSTRUMENT PANEL LIGHTS WERE TURNED OFF.,172M,CESSNA,ME,8-12-19870812,8,H,,H,faa
19870813057749I,BOTH ENGINES FLAMED OUT WHILE DESCENDING THROUGH CLOUDS. INLET HEAT NO ON. BOTH ENGINES WERE RESTARTED.,441,CESSNA,ME,8-13-19870813,8,L,ARSRCH,L,faa
19871022072959I,SAW ENGINE OIL LEAK. RETURNED TO FIELD. DISCOVERED OIL CAP LOOSE. REPLACED CAP AND RESUMED FLIGHT. PILOT COUNSELLED,P210N,CESSNA,II,10-22-19871022,10,H,,H,faa
19870925056369A,THE AIRCRAFT NOSED OVER ON TAKEOFF. THE PLIOT FAILED TO PULL THE ELEVATOR CONTROL OUT OF THE DETENT BEFORE TAKEOFF,195,CESSNA,II,9-25-19870925,9,H,JACOBS,H,faa
19870926079129A,OVERHEATED ENGINE. PRECAUTIONARY LANDING ON DIRT ROAD. BOUNCED. HIT A CATTLE GUARD AND GATE. OIL DIPSTICK MISSING.,140,CESSNA,II,9-26-19870926,9,H,CONT,H,faa
19870911051849A,CREW DOOR CAME OPEN IN FLIGHT AS PILOT TRIED TO SECURE IT. THE FORCE OF AIR BROKE PILOTS ARM AND DAMAGED FUSELAGE.,402C,CESSNA,II,9-11-19870911,9,L,CONT,L,faa
19870826056929I,PILOT TAXIED OVER A PLASTIC MARKER CONE THAT WAS IN FRONT  OF HIS AIRCRAFT. FAILED TO MAKE WALK AROUND PREFLIGHT.,208A,CESSNA,II,8-26-19870826,8,H,PWA,H,faa
19871003063159I,ENGINE QUIT DUE TO SIGNIFICANT WATER IN THE FUEL. SAFE AIRPORT LANDING. FUEL FACILITY INSPECTION INCONCLUSIVE.,VARIEZELONG,AMTRRU,II,10-03-19871003,10,M,,M,faa
19871005060199A,HAD TO USE BOTH HANDS ON BALLOON VENT TO HOLD IT OPEN ON LANDING THEREFORE UNABLE TO CONTROL BURNER.BURNED ENVELOPE,FIREFLY7B,BALWKS,ME,10-05-19871005,10,B,,B,faa
19871003063299I,THE AIRCRAFT RETURNED TO THE AIRPORT DUE TO AN UNLATCHED COWLING. OPERATOR IS TAKING ACTION TO PREVENT RECURRENCE.,SA227AC,SWRNGN,II,10-03-19871003,10,L,,L,faa
19870727068289I,PILOT FAILED TO ENSURE THE OIL DIPSTICK WAS PROPERLY INSTALLED. RETURNED WITH OIL LEAKING FROM RIGHT ENGINE.,PA31350,PIPER,II,7-27-19870727,7,L,,L,faa
19871024060409A,REPORTED A DOOR CAME OPEN AFTER TAKEOFF. MADE TIGHT CIRCLE TO LAND ON ANOTHER RUNWAY. HIT A TREE AND CRASHED.,B24R,BEECH,II,10-24-19871024,10,L,LYC,L,faa
19871015063099I,PILOT TOOK OFF WITH THE TOWBAR ATTACHED TO NOSE GEAR. RETURNED WHEN GEAR WOULD NOT RETRACT FULLY.,PA46310P,PIPER,II,10-15-19871015,10,L,,L,faa
19871004058539A,COLLIDED WITH THE TERRAIN AFTER TAKOFF. FOUND CONTROL LOCK WAS IN PLACE AT THE TIME OF THE ACCIDENT. BOLT USED.,A35,BEECH,II,10-04-19871004,10,L,CONT,L,faa
19871102072099I,SOLO STUDENT LOST DIRECTIONAL CONTROL DURING ATTEMPTED TAKEOFF WITH FULL FLAPS.NOSE GEAR COLLAPSED OFF RUNWAY SIDE.,77,BEECH,ME,11-02-19871102,11,L,,L,faa
19870913051689A,"ENGINE QUIT ON CLIMBOUT.HIT A DITCH WHILE LANDING IN FIELD. WATER, DIRT IN FUEL NOZZLES. HAD SET 11 MONTHS INACTIVE",A2324,BEECH,II,9-13-19870913,9,L,LYC,L,faa
19870910061919I,TAILWHEEL WAS NOT LOCKED FOR LANDING. AIRCRAFT GROUND LOOPED. PILOT WAS UNFAMILIAR WITH LOCKING PROCEDURE.,BABYLAKES,AMTROF,ME,9-10-19870910,9,Q,,Q,faa
19870816062719I,"A COPPER TUBE, USED TO HOLD AERIAL BANNERS, FELL THROUGH THE ROOF OF A HOUSE. LOCAL OPERATOR IS BEING MONITORED.",,,DE,8-16-19870816,8,,,,faa
19871011071849I,ABORTED TAKEOFF WHEN THE DOOR CAME OPEN. PILOT MISJUDGED THE DISTANCE TO THE RUNWAY END. RAN OFF THE END.,340A,CESSNA,II,10-11-19871011,10,L,,L,faa
19880113000529A,TRIED TO TAKE OFF FROM SHIPS HELIPAD WITH A UNDETECTED REAR TIEDOWN STRAP STILL FASTENED. ROLLED OVER AND BURNED.,47G2A1,BELL,II,1-13-19880113,1,G,LYC,G,faa
19871119066679A,LIFTED TO HOVER UNAWARE HIDDEN TIE DOWN CHAINS STILL ATTACHED. ROLLED OVER AND CRASHED. TIE DOWNS WERE IMPROPER.,206L3,BELL,II,11-19-19871119,11,G,ALLSN,G,faa
19871118082759I,THE TAKEOFF WAS ABORTED WHEN THE PILOT HEARD A BANG. CREW ENTRANCE LADDER HAD COME LOOSE AND HIT THE DECK.,DC9,DOUG,II,11-18-19871118,11,L,,L,faa
19871107078069I,BOTH ENGINES SURGING ON CLIMBOUT. PILOT STATED CTOT SWITCH IN THE OFF POSITION BUT SOMEHOW ACTIVATED.,SF340A,SAAB,ME,11-07-19871107,11,L,,L,faa
19871119073859I,LOST DIRECTIONAL CONTROL ON ROLLOUT DUE TO AN INOPERATIVE LEFT BRAKE. FOUND HYDRAULIC FLUID ON LEFT MAIN GEAR.,B60,BEECH,II,11-19-19871119,11,L,,L,faa
19880221033719A,ENGINE QUIT ON TAKEOFF. CRASH LANDED OFF END OF RUNWAY. PILOT ACCIDENTALLY HIT KILLSWITCH PLACED CLOSE TO THE YOKE.,CONDOR,AMTR,ME,2-21-19880221,2,H,AMTR,H,faa
19880313034389I,UNABLE RETRACT NOSE GEAR ON CLIMBOUT. RETURNED. GROUND CREW HAD INSTALLED EXTRA NON STANDARD GEAR PIN. OVERLOOKED.,111201ZAC,BAC,II,3-13-19880313,3,L,,L,faa
19880120019019I,TAXIING AT HIGH STEEP PILOT VEERED OFF TAXIWAY INTO THE GRASS. BECAME STUCK IN THE MUD. BLAMED SEAT SLIPPED BACK.,310R,CESSNA,II,1-20-19880120,1,L,CONT,L,faa
19880216002609A,TAIL ROTOR ASSEMBLY BROKE OFF IN FLIGHT WHEN IT WAS STRUCK BY A HELMET FLIGHT BAG BLOWN OUT OF COCKPIT.,369D,HUGHES,II,2-16-19880216,2,G,ALLSN,G,faa
19871224078969I,ELECTRICAL POWER LOSS. MAGS NOT ON.TOWER CHECKED GEAR WAS UP. LANDED GEAR UP. EMERGENCY EXTENSION OPERATED NORMAL.,PA30,PIPER,ME,12-24-19871224,12,L,,L,faa
19871108072409I,THE GEAR RETRACTED AFTER LANDING. GEAR LIGHT OUT OF ADJUSTMENT. PILOT FAILED TO ENSURE HANDLE WAS POSITIVELY LOCKED,M20C,MOONEY,ME,11-08-19871108,11,L,,L,faa
19880303054509I,INDICATES PILOT DID NOT TURN ON ENGINE ANTI ICE PRIOR TO ICING. LOST BOTH ENGINES. WAS ABLE TO RESTART AND RETURN.,N22B,GOVT,ME,3-03-19880303,3,H,ALLSN,H,faa
19871229075529I,LOSS OF OIL QUANTITY NR3 ENGINE EN ROUTE DUE TO OIL CAP LOOSE. SHUT DOWN ENGINE. LANDED OK. NO ENGINE DAMAGE.,727232,BOEING,II,12-29-19871229,12,L,PWA,L,faa
19871112077979I,NUMBER 2 ENGINE LEFT CORE COWL SEPARATED ON TAKEOFF DUE TO IMPROPER INSTALLATION. CREATED RUNWAY HAZARD.,DC1030,DOUG,II,11-12-19871112,11,L,,L,faa
19880203043929I,RIGHT ENGINE COWLING LOOSE. DIVERTED TO PORTLAND.SECURED COWLING LOCKS AND DEPARTED.,99,BEECH,II,2-03-19880203,2,L,,L,faa
19880209002149A,APPEARS LEFT TANK RAN DRY. UNFASTENED BELT TO TURN VALVE TO FULL TANK.  SELECTOR JAMMED. LOST CONTROL OF AIRCRAFT.,VARIEZELONG,AMTRRU,II,2-09-19880209,2,M,LYC,M,faa
19871226077959I,FALSE ENGINE FIRE WARNING DUE TO WATER ON MONITOR CONNECTORS. WATER ENTERED UNDER LOOSE UPPER COWL.CRACKED COWL RIB,SF340A,SAAB,II,12-26-19871226,12,L,,L,faa
19871204077839I,LOST OVERHEAD EMERGENCY DOOR ON TAKEOFF ROLL. DID NOT CHECK IT FOR SECURITY.,C212CB,CASA,II,12-04-19871204,12,H,ARSRCH,H,faa
19871124073879I,PILOT ISSUED RADAR SURVEILLANCE APPROACH AFTER TWO ATTEMPTS. ILS SYSTEM HAD FLUCTUATING NEEDLES AND INOPERATIVE.,NA26540,RKWELL,AP,11-24-19871124,11,L,,L,faa
19871216081379I,UNABLE TO RETRACT NOSE GEAR ON TAKEOFF CLIMB. RETURNED. FOUND NOSE GEAR SAFETY PIN HAD NOT BEEN REMOVED.,DC951,DOUG,II,12-16-19871216,12,L,,L,faa
19880314026319A,HIT POWERLINES ON A PRECAUTIONARY LANDING. FUEL BOOST WARNING LIGHT ON. IMPACTED GROUND. GENERATOR SWITCH WAS OFF.,UH1B,BELL,II,3-14-19880314,3,G,LYC,G,faa
19880120000999A,PICKED UP TO A HOVER WHEN HELICOPTER PITCHED UP. LOST CONTROL AND CRASHED. ICED CONTROL SERVOS. AD NOT COMPLIED.,AS350B,SNIAS,II,1-20-19880120,1,G,TMECA,G,faa
19880129071209I,BOTH ENGINES FLAMED OUT ON TOUCHDOWN. HAD ENTERED ICING CONDITIONS ON APPROACH WITHOUT ENGINE INTAKE HEAT ON.,SA227AC,SWRNGN,ME,1-29-19880129,1,L,GARRTT,L,faa
19880311014089I,LEFT ENGINE FLAME OUT. RETURNED TO AIRPORT. FOUND OIL FILL DIPSTICK PROTRUDING FROM FILLER NECK. ENGINE OUT OF OIL.,HS125600A,HWKSLY,II,3-11-19880311,3,L,GARRTT,L,faa
19871117077809I,LOUD BANG AT ENGINE START AFTER MAINTENANCE. FOUND NR3 TAIL ROTOR DRIVE SHAFT COUPLING BOLTS WERE LOOSE.,206B,BELL,II,11-17-19871117,11,G,ALLSN,G,faa
19880108041599I,DUAL ALTERNATOR FAILURE. FAILED TO RESET CIRCUIT BREAKERS OR CHECK GEAR DOWN. PUT ON DEICE. SURGE POPPED BREAKERS.,58P,BEECH,ME,1-08-19880108,1,L,,L,faa
19880102003579I,RETURNED TO AIRPORT WITH ROUGH ENGINE. USED CHECK LIST. FOUND PRIMER UNLOCKED. SECURED PRIMER. ENGINE NORMAL.,PA32260,PIPER,ME,1-02-19880102,1,L,,L,faa
19871212080219I,CRASH LANDED ON AIRPORT. ACCIDENT CAUSED FROM A HOLE IN RUNWAY.,PA23250,PIPER,AF,12-12-19871212,12,L,LYC,L,faa
19880213002489A,LOST DIRECTIONAL CONTROL ON TAKEOFF. VEERED OFF THE RUNWAY. STUDENT USED NOSEWHEEL STEERING. CFI FAILED TO ADVISE.,PA60602P,PIPER,ME,2-13-19880213,2,M,LYC,M,faa
19871205069159A,"LOST OIL PRESSURE ON TAKEOFF. TRIED LANDING DOWNWIND NO FLAPS. TOO HIGH,STALLED CLIMBOUT. OIL DIPSTICK NOT SECURED.",PA28R200,PIPER,II,12-05-19871205,12,L,LYC,L,faa
19880104000179A,LOST CONTROL ON CLIMB-OUT AND IMPACTED NEAR VERTICAL.INDICATES PILOT FAILED TO TURN ON GYRO HORIZON PRIOR DEPARTURE,414A,CESSNA,II,1-04-19880104,1,L,CONT,L,faa
19880221003319A,PARTIAL POWER LOSS ON CLIMBOUT. DITCHED IN A CREEK. FOUND WATER IN FUEL.,PA28180,PIPER,II,2-21-19880221,2,L,LYC,L,faa
19871211075169A,ROUGH ENGINE ON CLIMBOUT. LANDED ON CITY STREET. SPARK PLUGS OUT OF TOLERENCE. FOUND PRIMER UNLOCKED.,150H,CESSNA,II,12-11-19871211,12,H,CONT,H,faa
19880131057869I,"DURING PREFLIGHT,LEFT AILERON LOCK DANGLING BY BUNGEE CORD FROM WING. FLEW TO KENT COUNTY RUNWAY WITH LOCK DANGLING",DO228201,DORNER,II,1-31-19880131,1,H,,H,faa
19880304005859A,BOTH ENGINES QUIT ON CLIMBOUT. CRASH LANDED IN TREES. FUEL SELECTORS ON INBOARD EMPTY TANKS. OUTBOARD TANKS FULL.,PA23250,PIPER,II,3-04-19880304,3,L,LYC,L,faa
19880624064609A,ABORTED TAKEOFF WHEN UNABLE TO ROTATE. RAN OFF END OF RUNWAY. NOSED OVER IN DITCH. FAILED TO RESET NOSE DOWN TRIM.,182R,CESSNA,II,6-24-19880624,6,L,CONT,L,faa
19880607045909I,BOTTOM HALF OF AIRSTAIR DOOR OPENED IN FLIGHT. DIVERTED TO NEAREST AIRPORT. NO DETAILS GIVEN IN REPORT.,PA31350,PIPER,II,6-07-19880607,6,L,,L,faa
19880324019949I,ICING PROBLEM. ENGINE QUIT AT CRUISE. RESTARTED. ONLY RAN AT IDLE. LANDED ON DIRT ROAD. WAS USING RAM AIR.,M20J,MOONEY,ME,3-24-19880324,3,L,LYC,L,faa
19880623040369I,"ENGINE OVERHEATED ON CLIMBOUT. LANDED ON A HIGHWAY. HAD FORGOT TO REMOVE COWL COVERS.TOOK OFF, RETURNED TO AIRPORT.",170A,CESSNA,II,6-23-19880623,6,H,,H,faa
19880426011719A,ENGINE QUIT. NOSED OVER LANDING IN A SOFT FIELD. FOUND WATER IN THE FUEL.,152,CESSNA,II,4-26-19880426,4,H,LYC,H,faa
19880413016839I,HAD A RATTLE NOISE OUTSIDE OF THE AIRCRAFT. RETURNED. FOUND EXCESS SEAT BELT WAS HANGING OUTSIDE OF COCKPIT.,152,CESSNA,II,4-13-19880413,4,H,LYC,H,faa
19880530054189I,UNABLE TO ACCELERATE NORMALLY. ABORTED TAKEOFF. STOPPED IN OVERRUN AREA. PARKING BRAKE NOT FULLY OFF.,402C,CESSNA,II,5-30-19880530,5,L,,L,faa
19880623040529I,ENGINE QUIT IN THE PATTERN. LANDED IN A FLOOD CHANNEL. LACK OF SUFFICIENT OIL IN ENGINE CAUSED CYLINDER SEIZURE.,152,CESSNA,II,6-23-19880623,6,H,LYC,H,faa
19880412038769I,FLIGHT DEPARTED PITTSBURGH WITHOUT BEING FUELED. RETURNED. AIRCRAFT WAS FUELED AND THEN DEPARTED AGAIN.,727225,BOEING,II,4-12-19880412,4,L,,L,faa
19880410036529A,FIRE ERUPTED IN EXHAUST SYSTEM IN AN INVERTED SPIN DUE TO POOLING OF SMOKE OIL AND IGNITED. SMOKE OBSCURED LANDING.,PITTSSPECSR,AMTRPT,ME,4-10-19880410,4,Q,LYC,Q,faa
19880406036069I,RIGHT MAIN WHEEL LEFT THE TAXIWAY DURING TAXIING. FOUND LEFT BRAKE HAD A LEAK AT THE PISTON. PILOT FAILED TO NOTE.,560,GULSTM,II,4-06-19880406,4,H,,H,faa
19880527016939A,ENGINE QUIT ON INITIAL CLIMBOUT. CRASH LANDED AVOIDING TREES. FOUND SELECTED FUEL TANK EMPTY. TRIP WAS TO GET FUEL.,1082,UNIVAR,II,5-27-19880527,5,H,FRNKLN,H,faa
19880520015489A,"AIRCRAFT MADE LEFT VERTICAL BANK ON INITIAL CLIMB IMPACTED AND BURNED. AILERON CONTROL JUST REWORKED, WERE BACKWARD",DHC2*,DHAV,II,5-20-19880520,5,H,PWA,H,faa
19880402015869I,SMOKE IN COCKPIT. DECLARED AN EMERGENCY. LANDED SAFELY. FOUND PILOT HAD MISHANDLED THE CABIN HEATER CONTROL.,MU2*,MTSBSI,ME,4-02-19880402,4,H,,H,faa
19880422066369I,ATC EQUIPMENT SHOWED PLANE BELOW ASSIGNED ALTITUDE. PILOT VERIFIED CORRECT ALTITUDE. RADAR READOUT SOMETIMES FAUTLY,146200A,BAC,AI,4-22-19880422,4,H,,H,faa
19880520040769I,TOOK OFF WITH KEYS IN FRONT BAGGAGE DOOR LOCK. DOOR OPENED. RETURNED TO CORRECT PROBLEM.,PA34200T,PIPER,II,5-20-19880520,5,L,CONT,L,faa
19880506034719I,TOOK OFF WITH AILERON GUST LOCK ENGAGED. ABORTED AND MADE A HARD LANDING.,DHC6TWNOTTER,DHAV,II,5-06-19880506,5,,,,faa
19880509021299I,LEFT ENGINE OIL PRESSURE FLUCTUATING ON CLIMB. ENGINE WAS IDLED. RETURNED. FOUND OIL RESERVOIR CAP LOOSE.,DC932,DOUG,II,5-09-19880509,5,L,PWA,L,faa
19880420048059I,DOOR OPENED IN FLIGHT. PILOT REQUESTED NEAREST AIRPORT WHERE HE LANDED WITHOUT INCIDENT.,PA28140,PIPER,II,4-20-19880420,4,L,,L,faa
19880603044859A,"ENGINE QUIT ON LIFTOFF, LANDED. ENGINE RESTARTED AND PILOT TOOK OFF AGAIN. ENGINE QUITE AGAIN. CRASHED INTO A MALL.",172N,CESSNA,II,6-03-19880603,6,H,LYC,H,faa
19880512015169A,STUDENT PILOT CRASHED ON CLIMBOUT WHEN ENGINE QUIT. STALLED AND CRASHED IN A FIELD. HEAT WAS ON AND FLAPS WERE DOWN,PA38112,PIPER,ME,5-12-19880512,5,L,LYC,L,faa
19880623034849I,UNABLE TO RAISE NOSE GEAR AFER TAKEOFF. RETURNED. GROUND LOCK PIN WAS NOT REMOVED BEFORE FLIGHT. CREW OVERSIGHT.,DC931,DOUG,II,6-23-19880623,6,L,,L,faa
19880825050199I,REAR DOOR OPENED ON FINAL APPROACH STRIKING FUSELAGE. NO REASON FOUND FOR DOOR OPENING.,TU206G,CESSNA,II,8-25-19880825,8,H,CONT,H,faa
19880921056649I,LOST DIRECTIONAL CONTROL AFTER TAKEOFF AND ROLLED. RECOVERED AND LANDED. FORGOT TO REMOVE EXTERNAL AILERON LOCK.,172P,CESSNA,II,9-21-19880921,9,H,,H,faa
19880711027479A,ENGINE LOST POWER ON HOMEBUILT ON CLIMBOUT. CRASH LANDED.  HAD PLACED LUGGAGE ON PLASTIC GAS LINE AND KINKED IT.,CHALLENGER2,AMTRQC,II,7-11-19880711,7,H,ROTAX,H,faa
19880913062619I,"SHORTLY AFTER ROTATION, FORWARD BAGGAGE DOOR BLEW OPEN AND FELL OFF. CONTINUED FLIGHT IN NON-AIRWORTHY AIRCRAFT.",402A,CESSNA,II,9-13-19880913,9,L,,L,faa
19880909038109A,"BEGAN TAKEOFF ROLL WITH CONTROL LOCK IN PLACE. UNABLE TO REMOVE, ABORTED LATE, RAN OFF END OF RUNWAY AND OVERTURNED",207,CESSNA,II,9-09-19880909,9,H,CONT,H,faa
19880714054459I,FUEL TRUCK EXHAUST FIRE WHILE REFUELING AIRCRAFT. EVACUATED AIRCRAFT VIA STAIRS. FAULTY TRUCK EXHAUST. NOT REPORTED,72731,BOEING,AF,7-14-19880714,7,L,,L,faa
19880914038569A,RIGHT COWL PANEL OPENED ON TAKEOFF CAUSED DRAG AND LOSS OF LIFT. LANDED OFF AIRPORT. IMPACT BENT THE WING SPAR.,A188B,CESSNA,II,9-14-19880914,9,L,CONT,L,faa
19880812032459A,"PARTIAL POWER LOSS ON CLIMBOUT. RETURNING,HIT FENCE AND AUTO SHORT OF RUNWAY. FAILED TO REMOVE COWLING BIRD COVERS.",210B,CESSNA,II,8-12-19880812,8,H,CONT,H,faa
19880911037979I,ABORTED TAKEOFF WHEN AIRCRAFT DID NOT ROTATE. RAN OFF END OF RUNWAY. STABILIZER TRIM SETTING WRONG.,1329,LKHEED,II,9-11-19880911,9,L,,L,faa
19880831036229A,"CREW FAILED TO ASCERTAIN FLAPS SET FOR TAKEOFF AND FLAP WARNING HORN FAILED, LACK OF LIFT CAUSED SETTLING AND CRASH",727232,BOEING,ME,8-31-19880831,8,L,,L,faa
19880720027129A,FLAPS LEFT FULL DOWN AFTER INSPECTION. TOOK OFF FLAPS DOWN PITCHED UP STALLED. NOSED DOWN. CONTROL LOCK ALSO ON.,DHC6200,DHAV,II,7-20-19880720,7,H,PWA,H,faa
19880711026239A,MISSED APPROACH. FORCED LANDING IN FIELD. PILOT USED TO VERNIOR THROTTLE. UNSCREWED SAME BY TWISTING. NO MECHANICAL,PITTSSPECS1,AMTRPT,ME,7-11-19880711,7,Q,LYC,Q,faa
19880807039859I,ABORTED 2 TAKEOFFS DUE TO AIRCRAFT NOSE HEAVY. NO DEFECTS. PILOT COUNSELED ON USE OF TRIM TAB.,G35,BEECH,ME,8-07-19880807,8,L,,L,faa
